rating,review_text,date,version,author,thumbsUpCount,platform
5,"People need to download this, this is so amazing. 15-30 minutes of your day and you feel focused. Amazing! (Need more challenges)",2026-01-28T08:38:47,,Syed Anas Wajid,0,Google Play
5,it's fun and addictive man...came from a reel and it's god was it amazing,2026-01-27T20:00:54,1.17.300,Dipayan Mallick,0,Google Play
5,"This is an incredible app. As a junior software engineer who is learning and building software, this project has become a real inspiration for me. The UI/UX and features are absolutely top-notch. If the developer happens to read this, I would love to connect and learn more under your guidance. Thank you for building something so inspiring.",2026-01-27T18:39:23,1.17.300,Srihari Vernekar,0,Google Play
5,The promo was great. It caused me to immediately download the app 😅,2026-01-27T15:10:38,1.17.300,Shubham Pandey,1,Google Play
5,"As of now it's good, since just now I downloaded this…",2026-01-27T08:08:46,1.17.300,Vendrerigal வென்றேறிகள்,0,Google Play
2,didn't work properly ..,2026-01-25T20:16:14,1.17.300,Bimla Rani,0,Google Play
5,it was for the best,2026-01-25T19:21:09,1.17.300,Hrushikesh Koppula,0,Google Play
5,gg for increasing maths speed,2026-01-25T10:15:06,1.17.300,Jaipal singh Singh,0,Google Play
5,the ad was fabulous about dopamine the main reason i downloaded the app was the ad,2026-01-24T18:45:11,,Tanisha Garg,1,Google Play
2,"Changed my review from 5 to 2 star. Because this app is filled with bugs and glitches. Freezes midway, starts late and sometimes the whole app crashes. Don't know why aren't the developers addressing this. Don't know!",2026-01-24T17:57:49,1.17.300,Sahil Parab,21,Google Play
4,"great app idea, I liked it. best app to start 2026",2026-01-24T17:37:11,1.17.300,HIMANSHU (AKSHAY),0,Google Play
4,"Really Really Addictive and i love the puzzles, You must add that thing like when we want to edit a particular digit like i wrote the last digits suppose 20 and answer is 320 so i have to write the whole thing so add that option where I can jump from 20 and write 3 in front",2026-01-23T21:55:41,1.17.300,Shiven Brar,0,Google Play
5,"good to see that you can make a boring mind game so addictive... , love to see this concept, but maybe devs should add some more interaction features in this app like chatting while playing or clans or messaging features, overall the game is good.",2026-01-23T13:43:09,1.17.300,Rohit Kumar,0,Google Play
5,good design. helps for people who want to improve quick thinking.,2026-01-23T10:49:02,1.17.300,Vishnu Manepalli,0,Google Play
4,pls fix bug on chat option,2026-01-22T22:52:51,1.17.300,Shourya Singh,0,Google Play
5,best for those who don't no mathematics,2026-01-22T18:19:24,1.17.300,Udoy Daimari,0,Google Play
5,what is SUM of squares of 86 isn't it 100 I am not able to understand this in classical the response from Developers is very fast I like it being a Developer I know how it works thanks for that update please check clgs in your database there is some issue with it it's not getting updated when I am trying to add one the page is flickering and that it and app is really impressive.,2026-01-21T22:00:01,1.17.300,Srinivas Koushik Ganti,0,Google Play
1,this app is good but the reason I am giving it 1 star Is because when I type fast it registers only 1 number like if I type 20 it only shows 0. this game deserves 5 star but because of this reason it doesn't,2026-01-21T17:45:48,1.17.300,Jyoti Pathe,0,Google Play
5,this app is overall good But i have a question when i am inside the app and i try to change the volume why this app changing my call volume instead of normal one??? fix it its so annoying i cant listen music while using this app.,2026-01-21T16:48:21,1.17.300,Vikas Jakhar,0,Google Play
1,its going out of my mobile's screen size. samsung s21 fe,2026-01-21T16:13:47,1.17.300,Raman Rawat,0,Google Play
4,"Well, the game is awesome for practicing maths, and your memory skills but it has one problem, the texts that I write to my online friends and the texts that they write both kinda disappear automatically and I don't know if it is a problem with just my phone or there is a problem with the game's texting system, so it's my request if you would please look into the matter.",2026-01-21T07:29:04,1.17.300,Saswati Biswas,1,Google Play
3,such a slow app,2026-01-20T14:43:57,1.17.300,Ye,0,Google Play
5,"IT'S GOOD, CHALLENGING, BETTER THAN DOOMSCROLLING",2026-01-19T19:49:52,1.17.300,Anushka Mahajan,0,Google Play
1,discarded,2026-01-19T08:44:02,,Satyam,0,Google Play
1,I am stuck at tutorial the UI scaling is bad. pop ups go off my screen and I cannot even press next to finish the tutorials . I'm on s24 ultra. id like to share some images,2026-01-18T23:04:08,1.17.300,Sri Sraghvi Allamraju,3,Google Play
5,Very good app for students who love maths and calculations. And if you are bad in calculations you must try this app you will become fast and accurate in calculations in only 1 week. But it is Highly Addictive!!!. So make sure you can control yourself.,2026-01-18T15:55:29,1.17.300,Aditya Kumar Barnwal,4,Google Play
4,great game to play exercises mind so much but have some internet issues hope so they will be fixed in the next update,2026-01-17T00:58:27,1.17.300,yashraj sharma,1,Google Play
5,A great app for people who want to improve themselves and test their math skills. I loved it,2026-01-16T18:45:32,1.17.100,Rashim Malhotra,0,Google Play
5,add more games 🥺,2026-01-16T07:07:10,1.17.100,Madhav Kalra,1,Google Play
5,"Really liked it , and your creativity advertisement is awesome like redbull!",2026-01-15T17:05:36,1.17.100,Abhimanyu singh,0,Google Play
5,"Super fun! A lot of competitive, 2-player games. The math isn't -too- complicated, and all the puzzles offer a formidable challenge for your memory and skills! It has a very nice design, all instructions are clear, and the app tracks your performance so you can see just how much you're improving. It's satisfying to get some of the gears in my head turning for a while.",2026-01-15T05:52:28,1.17.100,Shauna Biggs,8,Google Play
5,this is only one amazing app I see never in my life pc experience is so goooood,2026-01-15T02:48:51,1.17.100,Raziya Bagam,0,Google Play
5,math game 🎮 must ❤,2026-01-13T12:04:44,1.16.400,Neeraj Kumar,0,Google Play
1,too much animation my device is lagging not optimized for budget phones,2026-01-12T15:10:31,1.16.300,Dhruv Prajapati,1,Google Play
5,it is very special game I liked it very much,2026-01-12T08:41:16,,Sharan Basava,0,Google Play
5,"I rarely go and rate apps on playstore, but this one deserves a 5 star. This app nudges you to invest time in brain activity stuff, rather than in brain rot scrolling. keep up the good work guys 🔥",2026-01-11T23:39:45,1.16.400,Dhawal Parmar,12,Google Play
4,the app is super cool but I'm facing issue app is not shown in my apps desk or hidden why is that ?,2026-01-11T21:05:14,1.16.400,Daxesh Desai,0,Google Play
5,these app is improve your math memory,2026-01-11T21:04:16,1.16.400,Vivek Kumar,0,Google Play
5,Jee aspirant here. I found out about this app through Instagram. It somehow outperformed my expectations for this game. It's the best alternative you can have for scrolling especially if you want to improve in maths and memory. It continuously challenges you to push yourself as the time goes by. The best thing? It's multiplayer. A big thanks to the developers to create such a game where social media apps and brainrot trends! Totally satisfied.,2026-01-10T23:56:47,1.16.400,Raza Hassan Haidry,24,Google Play
1,I'm giving it one star because i really don't like maths and there is only one game which I like is the tiles game 😀 and all other maths i don't like see the developer should develop and program in such a way thinking of maths players and other players too so that's why and I'm bored of playing the tiles game i really appreciate the game but the problem is with math I'm not topper in maths so the developer could understand my problem and make any new changes thankyou for the app,2026-01-10T23:11:36,1.16.400,Saiganesh Laggani,1,Google Play
4,"The app is fantastic & addictive... well lately, I have noticed that the app takes minutes to load... it keeps showing Initializing & that's almost like forever. Also, I have a few suggestions: for the games, the countdowns could be added with a sound to make it feel better... also, there should be a custom settings for controlling sounds & haptiks. Hoping more Math & Logic games coming in the near future 'v'",2026-01-10T12:11:59,1.16.400,vips kumar,15,Google Play
5,this game is poring 🤮🤮,2026-01-09T19:25:33,1.16.400,Sarvjeet Singh,0,Google Play
5,mind increase app,2026-01-09T18:11:34,1.16.400,Ashutosh Pal,0,Google Play
5,It's a good game and good way to take you away from brainrot to something useful and productive. Will further improve the quality of critical thinking.,2026-01-09T17:27:11,1.16.400,abhishek suryawanshi,0,Google Play
1,it's a good app but in classical mode some players guesses the number and takes over point even sometimes I did guesses so I think there should be only one chance to answer a question,2026-01-09T12:39:36,1.16.400,Pranav Lal,0,Google Play
4,Allow users to play vs computer or practise at any level.,2026-01-08T21:30:46,1.16.400,Srinivasa Venkataramanappa,0,Google Play
5,good,2026-01-08T20:36:01,1.16.400,Priyanshu Kumar,0,Google Play
5,"Best for: Students, professionals, and fans of mental math.",2026-01-08T20:23:34,1.14.000,Ravi Jha,0,Google Play
5,"best game, enhance you memory",2026-01-08T17:30:29,1.16.400,Aadarsh Gangwar,0,Google Play
1,"UI and everything is great but the main purpose of this application is puzzels. For B2B two days Cross math puzzle is wrong and its not possible to solve with correct solution. So it seems developers have worked hard on UI and all good but didn't focus more on actual goal, the correct puzzles.",2026-01-08T12:57:25,1.16.300,Jainil Modi,28,Google Play
5,so nice app,2026-01-07T20:49:10,1.16.400,Suhail Gamer,0,Google Play
5,great for brain exercise 💪,2026-01-07T20:28:36,1.16.400,GYANA PRAKASH SAHOO,0,Google Play
5,♥️♥️,2026-01-07T15:10:40,,Ankit,0,Google Play
3,"In Classic Duels, for the sum of squares problem, when the number is not a perfect square, the answer is currently taken only up to n number of terms. This needs to be fixed so that decimal values are also considered. For example, √54 ≈ 7.33, and such decimal results (up to two decimal places) should be accepted as valid answers.",2026-01-06T04:36:36,1.16.300,Aruhi Yadav,3,Google Play
5,Loved the game it's a good addiction,2026-01-05T09:01:14,1.16.300,Ashutosh Mohle,0,Google Play
5,One of the best apps I have ever used in life.,2026-01-04T23:46:28,1.16.300,Sumanth M G,0,Google Play
3,"the game is fun at first, then the math goes so wild that it is not possible to solve fast without using calculators, which defeats the purpose all together. For example (633%77), how is someone solving this in less than 3 seconds.I request the developers to come up with innovative and simple math problems which do not require a calculator.",2026-01-04T11:00:40,1.15.300,Vivek Surwase,7,Google Play
5,why the app wasn't available when I was in school and in my jee phase 😭😭,2026-01-03T18:22:54,1.15.300,Shantanu Singh,0,Google Play
5,great . very clean build and nice way to engage math lovers. even non math lovers can still play puzzles and have fun! it's nice to compete,2026-01-03T17:43:08,,Mithun Kumar.S,0,Google Play
3,"Hey, devs ! I honestly enjoy this game very much . There are so many modes, that freaking detailed analysis and so much more about this . But there is a major issue . This game rewards experience and matches played over raw speed . Like I personally got a 30+ score and my rating is sub 1200 . Meanwhile there are people with 2500+ ratings but sub 20 scores in individual matches . I believe the game should reward skill more than raw experience as it will make the experience feel more rewarding .",2026-01-03T12:12:05,1.15.300,Om Kumar,2,Google Play
5,great app for thinking,2026-01-02T21:55:04,,Dhruv Rathour,0,Google Play
5,I'm lovin it,2026-01-01T22:51:17,1.15.300,Suryansh Shaurya,0,Google Play
5,wonderful app. loved it,2025-12-31T16:31:09,1.15.300,CA.Santhosh K,0,Google Play
5,best application,2025-12-31T12:00:39,1.15.300,Sapna Badopalia,0,Google Play
5,in love with this game ....,2025-12-29T21:57:30,1.15.300,Awal Raj Arora,0,Google Play
1,"in today's math crossword puzzle, the numbers given in the options doesn't fit, it's wrong puzzle 🧩",2025-12-28T19:40:36,1.15.300,ABHISHEK D,2,Google Play
1,not getting the login message with saudi arabia mobile number.,2025-12-28T14:57:54,1.15.300,Rakesh Shah,0,Google Play
5,Perfect ⭐️⭐️⭐️⭐️⭐️,2025-12-28T14:47:52,1.15.000,Yishuvendra Dewangan,0,Google Play
5,best app available,2025-12-27T17:43:09,1.15.300,Aku Welly,0,Google Play
5,This is a very good game and every student should play it now.,2025-12-27T17:16:53,1.15.300,Kailash Kumar,1,Google Play
2,pls add music or sound,2025-12-27T12:30:01,1.15.300,Mokshada Tewari,3,Google Play
4,Good game for knowledge and fun 😌 you can try it..,2025-12-27T10:37:07,1.15.300,Muskan Panday,0,Google Play
1,I was stuck on tutorial screen as I was not able to click next button as it was not visible,2025-12-27T00:12:34,,navam arora,1,Google Play
5,This is the first app I have ever rated It deserves 5 star,2025-12-26T19:40:23,1.15.300,sumit ghosh,0,Google Play
5,Best mental exercise game!,2025-12-26T19:36:39,1.15.300,Abhishek Gaur,0,Google Play
1,"bad ux, next button is hidden when i strat to play the game.",2025-12-25T16:22:16,1.15.300,Mohammed Mushraf,3,Google Play
5,nice app,2025-12-25T00:16:53,1.15.300,Salma Sayyad,1,Google Play
5,"just wow, it's so detailed I really like the theme and art style it's very professional unlike being childish and the detailed analysis? just mindblowing it's one of the best apps, the way such a simple concept can be made so elaborative and tailored and interactable",2025-12-24T12:57:34,1.15.300,KAKASHI HATAKE,17,Google Play
1,couldn't move after the guidelines. interference is inadequate,2025-12-24T11:22:29,1.15.300,Varun Kumar.K,0,Google Play
4,great game but I wish it had option for light background.,2025-12-24T10:58:33,1.15.300,Mridul Agarwal,1,Google Play
5,very good app for focus,2025-12-24T10:52:45,1.15.300,Ride BMX India,0,Google Play
5,it's nota game it's kinda exercise for our brain,2025-12-23T14:52:23,,XIATH,0,Google Play
5,"Good concept 😃😃😃 1 v 1 in math, Great, i love it , fun and learn at the same time 😀",2025-12-23T12:42:53,1.15.300,Soham Biswas,0,Google Play
